amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
S01-5476230-5899912,rL8pNhp7kb,2023-04-29T16:11:22+00:00,2023-05-01T05:41:25+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1055675514,B07H85ZDLG,Unshipped,1,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-1153478-5495550,MGDawUaKfj,2023-04-28T16:29:33+00:00,2023-04-28T16:55:29+00:00,Cancelled,Amazon,Non-Amazon,,,Standard,-,1055675492,B07D9WSWFR,Unshipped,1,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-4008022-4011261,JN2zHrh6b3,2023-04-27T16:58:33+00:00,2023-04-28T10:42:54+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,1,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-7275494-2973835,ajB8s6ibOU,2023-04-24T16:33:03+00:00,2023-05-08T15:49:04+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1055675492,B07D9WSWFR,Unshipped,4,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-5633276-6352831,aarmIF6Ghv,2023-04-20T17:01:05+00:00,2023-04-20T17:27:30+00:00,Cancelled,Amazon,Non-Amazon,,,Standard,-,1055675492,B07D9WSWFR,Unshipped,1,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-0178250-3011740,NSkRI/CmYz,2023-04-16T16:07:54+00:00,2023-04-19T07:48:45+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1055675492,B07D9WSWFR,Unshipped,12,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-3074795-5136306,M+tTGbz8sF,2023-04-12T17:56:52+00:00,2023-04-14T01:32:22+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1055675492,B07D9WSWFR,Unshipped,2,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-9602971-0136558,U/ehjJK3KX,2023-04-08T17:51:09+00:00,2023-04-23T21:21:43+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1055675492,B07D9WSWFR,Unshipped,21,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-2464901-5058547,deeRzx7p0f,2023-04-05T23:27:37+00:00,2023-04-20T17:26:08+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1055557288,B09LRPT658,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
112-1484118-4189853,,2023-05-01T06:17:04+00:00,2023-05-01T20:17:29+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,Shipped,1,USD,25.99,2.18,,,,,,,LAS VEGAS,NV,89110-3870,US,,FALSE,,,FALSE
