amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
S01-3793710-6597239,5wX9x8pU2b,2023-02-21T01:41:00+00:00,2023-06-20T10:37:39+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-7198810-8099636,230207Q7I,2023-02-07T14:26:15+00:00,2023-02-15T03:36:48+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,ZO-GCWB-IDJ6,B09YVTG8DQ,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-8839748-8856439,wWYY704zDL,2023-02-05T23:10:50+00:00,2023-02-16T01:31:52+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,UT-U8UL-ZBQF,B0BD76BTSN,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
111-5481218-6461005,111-5481218-6461005,2023-03-01T07:23:14+00:00,2023-03-02T21:55:48+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,2.14,,,,,,,LOS ANGELES,CA,90026-1845,US,,FALSE,,,FALSE
114-3178577-1192257,114-3178577-1192257,2023-03-01T06:46:07+00:00,2023-03-02T09:33:22+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,0.28,,,,,,,COUNTRY CLUB HILLS,IL,60478-3408,US,,FALSE,,,FALSE
111-8322888-3878607,111-8322888-3878607,2023-03-01T06:42:37+00:00,2023-03-02T04:42:16+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,1.74,,,,,,,HIGHLAND,CA,92346-5014,US,,FALSE,,,FALSE
111-6677197-2358662,111-6677197-2358662,2023-03-01T02:52:58+00:00,2023-03-03T05:54:50+00:00,Shipped,Amazon,Amazon.com,,,Standard,Vital Proteins Marine Collagen Peptides Powder Supplement for Skin Hair Nail Joint - Hydrolyzed Collagen - 12g per Serving - 7.8 oz Canister,1055675492,B07D9WSWFR,Shipped,1,USD,35.81,,7.26,,,,,7.26,RICHMOND,TX,77407-1832,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
112-2150699-3821869,112-2150699-3821869,2023-02-28T20:20:37+00:00,2023-03-02T17:28:23+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,KEENE,NH,03431-3015,US,,FALSE,,,FALSE
114-6897660-3525005,114-6897660-3525005,2023-02-28T19:17:19+00:00,2023-03-03T00:55:23+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,1.8,3.88,,,,,3.88,SYLVANIA,GA,30467-8813,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
113-9688031-9065004,113-9688031-9065004,2023-02-28T13:34:51+00:00,2023-03-02T05:44:25+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,1.63,,,,,,,CHARLOTTE,NC,28269-5011,US,,FALSE,,,FALSE
112-8405705-7603448,112-8405705-7603448,2023-02-28T13:33:37+00:00,2023-03-03T23:31:46+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,TABERNACLE,NJ,08088-9081,US,,FALSE,,,FALSE
113-6387132-0062604,113-6387132-0062604,2023-02-28T03:21:51+00:00,2023-03-05T22:02:18+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Standard,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,ALBUQUERQUE,NM,87120-6156,US,,FALSE,,,FALSE
114-2561413-6420211,114-2561413-6420211,2023-02-28T02:08:04+00:00,2023-03-02T08:25:05+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,MATAWAN,NJ,07747-3786,US,,FALSE,,,FALSE
112-7627748-1143464,112-7627748-1143464,2023-02-28T00:28:41+00:00,2023-03-02T19:35:48+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,COCHRANTON,PA,16314-2529,US,,FALSE,,,FALSE
