amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
S01-4614579-2169901,230128IB,2023-01-28T05:11:22+00:00,2023-03-30T23:43:58+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,2,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-3525528-2245012,2301221GP0,2023-01-22T23:58:31+00:00,2023-02-02T23:02:08+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-9654688-1307943,X0JffTO1vE,2023-01-21T00:58:58+00:00,2023-02-03T18:29:14+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,KK-8W5L-EI0Y,B0BD6XRYK8,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-4116968-4218757,2301181G1Q,2023-01-18T23:44:24+00:00,2023-01-29T09:53:03+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,5,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-8485095-2397747,230114126C,2023-01-14T18:44:42+00:00,2023-01-30T15:16:39+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,13,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-7897543-6253153,2301121RDQ,2023-01-13T03:49:17+00:00,2023-02-04T23:00:54+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,7,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-9786556-5049357,230110MLZ,2023-01-10T13:08:34+00:00,2023-01-20T03:18:02+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,15,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
112-1727968-5657001,112-1727968-5657001,2023-02-01T06:14:39+00:00,2023-02-14T05:29:13+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.1,,,,,,,ATKINS,ARKANSAS,72823-7561,US,,FALSE,,,FALSE
114-6831910-6190636,114-6831910-6190636,2023-02-01T05:46:07+00:00,2023-02-09T15:46:37+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.79,,,,,,,TULSA,OK,74133-4927,US,,FALSE,,,FALSE
112-0262180-5200228,112-0262180-5200228,2023-02-01T04:09:45+00:00,2023-02-10T09:27:29+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.2,,,,,,,TOPEKA,KS,66614-4661,US,,FALSE,,,FALSE
112-9440116-7420269,112-9440116-7420269,2023-02-01T03:15:09+00:00,2023-02-09T04:12:03+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,6.63,,,,,,,FRANKLIN,TN,37064-8647,US,,FALSE,,,FALSE
114-5722647-7557053,114-5722647-7557053,2023-02-01T03:14:24+00:00,2023-02-10T16:22:49+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Promotes Hair, Nail, Skin, Bone and Joint Health, Lemon 11 Ounce",1055675480,B0B3Q1HNQ5,Shipped,1,USD,22.48,,9.68,,,,,9.68,Taipei City,Taiwan (R.O.C.),110,TW,Duplicated A3JU1FCINF5SD0 1569460229772,FALSE,,,FALSE
114-7663196-8809028,114-7663196-8809028,2023-02-01T02:44:02+00:00,2023-02-15T17:16:56+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.61,,,,,,,COLLEYVILLE,TX,76034-5617,US,,FALSE,,,FALSE
113-5177481-5340204,113-5177481-5340204,2023-02-01T02:29:53+00:00,2023-02-15T01:28:23+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Promotes Hair, Nail, Skin, Bone and Joint Health, Lemon 11 Ounce",1055675480,B0B3Q1HNQ5,Shipped,1,USD,22.48,,6.77,,,,,6.77,Kowloon,Hong Kong,0,HK,Duplicated A3JU1FCINF5SD0 1569460229772,FALSE,,,FALSE
112-6794906-1728226,112-6794906-1728226,2023-02-01T01:20:55+00:00,2023-02-15T22:52:37+00:00,Shipped,Amazon,Amazon.com,,,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,3.4,3.95,0.2,,,,,STEELE,ND,58482-9512,US,,FALSE,,,FALSE
112-3622788-0085864,112-3622788-0085864,2023-02-01T01:19:02+00:00,2023-02-10T00:08:59+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.42,,,,,,,CLOVIS,CA,93619-3719,US,,FALSE,,,FALSE
113-9619409-7827450,113-9619409-7827450,2023-02-01T01:01:15+00:00,2023-02-08T17:03:07+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Expedited,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,GOODYEAR,AZ,85338,US,,FALSE,,,FALSE
113-9996469-9446626,113-9996469-9446626,2023-02-01T00:43:20+00:00,2023-02-10T00:11:37+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,4.76,,,,,,,BLOOMINGTON,IN,47406-7501,US,,FALSE,,,FALSE
113-7184382-9962651,113-7184382-9962651,2023-02-01T00:30:49+00:00,2023-02-08T17:03:12+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,GOODYEAR,AZ,85338,US,,FALSE,,,FALSE
114-2754849-4024259,114-2754849-4024259,2023-01-31T23:52:55+00:00,2023-02-05T20:42:26+00:00,Shipped,Amazon,Amazon.com,,,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,6.78,1.74,,,,,1.74,GLENPOOL,OK,74033-3527,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
