amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
S01-9240185-7299559,+MGxmi23od,2023-06-20T23:09:14+00:00,2023-07-07T12:24:47+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,K5-OFOA-21PF,B0BQZBPY2L,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-4101353-2556835,1eW8ZoJXLv,2023-06-05T23:15:13+00:00,2023-06-28T19:12:02+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,LA-29JB-4VOK,B0BD7BY47S,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-4066573-9952324,2306041IX7,2023-06-04T23:46:28+00:00,2023-06-05T13:31:51+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,WK-E4A0-OS6S,B07YLJPMC3,Unshipped,67,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-7968394-2963730,230601ZWH,2023-06-01T16:56:14+00:00,2023-06-07T01:20:58+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1055675480,B0B3Q1HNQ5,Unshipped,4,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
112-1678473-4893060,112-1678473-4893060,2023-07-01T06:55:45+00:00,2023-07-02T02:45:21+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Equate (Compare to Halls) Sugar Free Cough Drops, Menthol, 70 Ct - 2 Packs",FR-YJDL-0HK5,B07CMB66XZ,Shipped,1,USD,11.28,1.11,,,,,,,SOUTH SAN FRANCISCO,CA,94080-3127,US,,FALSE,,,FALSE
111-7014994-4361826,111-7014994-4361826,2023-07-01T06:39:17+00:00,2023-07-01T14:13:38+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Equate (Compare to Halls) Sugar Free Cough Drops, Menthol, 70 Ct - 2 Packs",FR-YJDL-0HK5,B07CMB66XZ,Shipped,2,USD,22.56,2.08,,,,,,,MONTEREY,CA,93940-6027,US,,FALSE,,,FALSE
114-6648068-7836220,114-6648068-7836220,2023-07-01T06:14:52+00:00,2023-07-03T21:37:52+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Equate (Compare to Halls) Sugar Free Cough Drops, Menthol, 70 Ct - 2 Packs",FR-YJDL-0HK5,B07CMB66XZ,Shipped,5,USD,56.4,5.8,,,,,,,LONG BEACH,CA,90813-3709,US,,FALSE,,,FALSE
112-2635310-5729056,112-2635310-5729056,2023-07-01T05:31:04+00:00,2023-07-02T22:40:12+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Equate (Compare to Halls) Sugar Free Cough Drops, Menthol, 70 Ct - 2 Packs",FR-YJDL-0HK5,B07CMB66XZ,Shipped,1,USD,11.28,0.79,,,,,,,GREENWOOD,IN,46143-8742,US,,FALSE,,,FALSE
113-2982241-4945014,113-2982241-4945014,2023-07-01T05:08:08+00:00,2023-07-02T04:13:21+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Equate (Compare to Halls) Sugar Free Cough Drops, Menthol, 70 Ct - 2 Packs",FR-YJDL-0HK5,B07CMB66XZ,Shipped,1,USD,11.28,1.02,,,,,,,SPOKANE,WA,99205-2147,US,,FALSE,,,FALSE
112-7874381-6769869,112-7874381-6769869,2023-07-01T04:20:38+00:00,2023-07-07T18:03:45+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Equate (Compare to Halls) Sugar Free Cough Drops, Menthol, 70 Ct - 2 Packs",FR-YJDL-0HK5,B07CMB66XZ,Shipped,1,USD,11.28,0.87,0.57,0.04,,,,,EUREKA,CA,95503-4883,US,,FALSE,,,FALSE
