amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
S01-2837105-7498055,PmFDshCwVL,2023-03-30T17:25:07+00:00,2023-03-31T12:08:59+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,UY-CZ82-RUVN,B08V79CRMH,Unshipped,1,,,,,,,,,,BRIDGEWATER,NJ,08807-5734,US,,FALSE,,,FALSE
S01-8422453-0235934,6Domjt3SWx,2023-03-21T01:40:39+00:00,2023-03-25T02:28:50+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,9B-SW5C-X7PB,B09J6Y8Y73,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-6709110-1653301,2303051NAZ,2023-03-06T02:21:16+00:00,2023-04-13T01:03:41+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,1T-BXBW-AM4D,B0BHDJTZ2N,Unshipped,1,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
S01-2139416-7988508,74Bz5u1Tny,2023-03-06T01:54:52+00:00,2023-03-11T07:00:11+00:00,Shipped,Amazon,Non-Amazon,,,Standard,-,WU-UHIQ-AQUP,B0BD7BY47S,Unshipped,2,,,,,,,,,,Bridgewater,NJ,8807,US,,FALSE,,,FALSE
113-3875436-0156214,113-3875436-0156214,2023-03-31T19:00:54+00:00,2023-04-07T21:44:34+00:00,Cancelled,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Promotes Hair, Nail, Skin, Bone and Joint Health, Lemon 11 Ounce",1055675480,B0B3Q1HNQ5,Cancelled,0,,,,,,,,,,LOMIRA,WI,53048-9530,US,,FALSE,,,FALSE
112-3546104-6987434,112-3546104-6987434,2023-03-30T00:15:23+00:00,2023-04-02T06:37:13+00:00,Cancelled,Amazon,Amazon.com,,,NextDay,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060160,B0BQZ9K23L,Cancelled,0,,,,,,,,,,FORT LAUDERDALE,FL,33312-2466,US,,FALSE,,,FALSE
112-3530380-8281065,112-3530380-8281065,2023-03-29T03:51:52+00:00,2023-04-20T06:06:00+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Promotes Hair, Nail, Skin, Bone and Joint Health, Lemon 11 Ounce",1055675480,B0B3Q1HNQ5,Shipped,2,USD,63.94,,13.34,,,,,13.34,Taichung City,Taiwan,40401,TW,Duplicated A3JU1FCINF5SD0 1569460229772,FALSE,,,FALSE
111-7806068-7134651,111-7806068-7134651,2023-03-27T02:32:12+00:00,2023-03-28T02:13:53+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Promotes Hair, Nail, Skin, Bone and Joint Health, Lemon 11 Ounce",1055675480,B0B3Q1HNQ5,Shipped,1,USD,31.97,,,,,,,,Bronx,NY,10463,US,,FALSE,,,FALSE
114-5152916-3413809,114-5152916-3413809,2023-03-26T08:46:30+00:00,2023-04-02T02:45:29+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,,,,,,,,Miami,Fl,33150,US,,FALSE,,,FALSE
112-5864723-3535426,112-5864723-3535426,2023-03-25T18:50:18+00:00,2023-03-29T17:32:56+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,,8.12,,,,,,Kelowna,British Columbia,V1Y 1B8,CA,,FALSE,,,FALSE
